XML_PATH_DEPTH1,XML_PATH_DEPTH2,XML_PATH_DEPTH3,XML_PATH_DEPTH4,XML_PATH_DEPTH5,XML_PATH_DEPTH6,XML_PATH_DEPTH7,XML_PATH_DEPTH8,XML_PATH_DEPTH9,XML_PATH_DEPTH10,XML_PATH_DEPTH11,XML_PATH_DEPTH12,XML_PATH_DEPTH13,XML_PATH_DEPTH14,XML_PATH_DEPTH15,PARENT_OBJECT_DEPTH1,PARENT_OBJECT_DEPTH2,PARENT_OBJECT_DEPTH3,PARENT_OBJECT_DEPTH4,PARENT_OBJECT_DEPTH5,PARENT_OBJECT_DEPTH6,PARENT_OBJECT_DEPTH7,PARENT_OBJECT_DEPTH8,PARENT_OBJECT_DEPTH9,PARENT_OBJECT_DEPTH10,WIDGET_NAME,CONTROLLER_NAME,EVENT_NAME,JS_PATH_DEPTH1,JS_PATH_DEPTH2,JS_PATH_DEPTH3,JS_PATH_DEPTH4,JS_PATH_DEPTH5,JS_PATH_DEPTH6,JS_PATH_DEPTH7,JS_PATH_DEPTH8,JS_PATH_DEPTH9,JS_PATH_DEPTH10,JS_PATH_DEPTH11,JS_PATH_DEPTH12,JS_PATH_DEPTH13,JS_PATH_DEPTH14,APPLICATION_NAME,SERVICEGROUP_NAME,SO_NAME,META,DEPTH 0,DEPTH 1,DEPTH 2,DEPTH 3,DEPTH 4,DEPTH 5,BO_NAME,METHOD_NAME,DOF_NAME,QUERY_NAME,QUERY,SCHEMA,TABLE,COLUMN,TOP_MATCHING,TOP_PO_MATCHING
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,DeleteClientType,meta,com,tmax,fs,client,type,so,ClientTypeBO,deleteClientType,ClientTypeDOF,DELETE,DELETE FROM FS.CLIENTTYPE WHERE CLIENTTYPE_CODE = :CLIENTTYPE_CODE AND (COMPANY_CODE IS NULL OR COMPANY_CODE = :COMPANY_CODE),FS,CLIENTTYPE,CLIENTTYPE_CODE,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertClientType,meta,com,tmax,fs,client,type,so,ClientTypeBO,insertClientType,ClientTypeDOF,INSERT,"INSERT INTO FS.CLIENTTYPE VALUES (:CLIENTTYPE_CODE, :CLIENTTYPE_NAME, :COMPANY_CODE)",FS,CLIENTTYPE,VALUES,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertClientType,meta,com,tmax,fs,client,type,so,ClientTypeBO,insertClientType,ClientTypeDOF,INSERT,"INSERT INTO FS.CLIENTTYPE VALUES (:CLIENTTYPE_CODE, :CLIENTTYPE_NAME, :COMPANY_CODE)",FS,CLIENTTYPE,:CLIENTTYPE_CODE,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertClientType,meta,com,tmax,fs,client,type,so,ClientTypeBO,insertClientType,ClientTypeDOF,INSERT,"INSERT INTO FS.CLIENTTYPE VALUES (:CLIENTTYPE_CODE, :CLIENTTYPE_NAME, :COMPANY_CODE)",FS,CLIENTTYPE,:CLIENTTYPE_NAME,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertClientType,meta,com,tmax,fs,client,type,so,ClientTypeBO,insertClientType,ClientTypeDOF,INSERT,"INSERT INTO FS.CLIENTTYPE VALUES (:CLIENTTYPE_CODE, :CLIENTTYPE_NAME, :COMPANY_CODE)",FS,CLIENTTYPE,:COMPANY_CODE,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,DeleteConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,deleteConAccByCode,ConAccDOF,DELETE,DELETE FROM FS.CONACC WHERE CONACC_CODE = :CONACC_CODE;,FS,CONACC,CONACC_CODE,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,CONACC_CODE,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,CONACC_FONT_SIZE,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,ACCOUNT_CODE1,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,ACCOUNT_CODE2,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,ACCOUNT_CODE3,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,ACCOUNT_CODE4,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,ACCOUNT_CODE5,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,ACCOUNT_CODE6,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,LANGUAGE_CODE,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,InsertConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,insertConAccByCode,ConAccDOF,INSERT,"INSERT INTO FS.CONACC ( CONACC_CODE, CONACC_FONT_SIZE, ACCOUNT_CODE1, ACCOUNT_CODE2, ACCOUNT_CODE3, ACCOUNT_CODE4, ACCOUNT_CODE5, ACCOUNT_CODE6, LANGUAGE_CODE, COMPANY_CODE ) VALUES ( (SELECT MAX(CONACC_CODE) + 1 FROM FS.CONACC), :CONACC_FONT_SIZE, :ACCOUNT_CODE1, :ACCOUNT_CODE2, :ACCOUNT_CODE3, :ACCOUNT_CODE4, :ACCOUNT_CODE5, :ACCOUNT_CODE6, :LANGUAGE_CODE, :COMPANY_CODE );",FS,CONACC,COMPANY_CODE,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,CORE,UpdateConAccSO,meta,com,tmax,fs,configure,acc,so,ConAccBO,updateConAccByCode,ConAccDOF,UPDATE,"UPDATE FS.CONACC SET CONACC_FONT_SIZE = :CONACC_FONT_SIZE, ACCOUNT_CODE1 = :ACCOUNT_CODE1, ACCOUNT_CODE2 = :ACCOUNT_CODE2, ACCOUNT_CODE3 = :ACCOUNT_CODE3, ACCOUNT_CODE4 = :ACCOUNT_CODE4, ACCOUNT_CODE5 = :ACCOUNT_CODE5, ACCOUNT_CODE6 = :ACCOUNT_CODE6, LANGUAGE_CODE = :LANGUAGE_CODE, COMPANY_CODE = :COMPANY_CODE WHERE CONACC_CODE = :CONACC_CODE;",FS,CONACC,CONACC_FONT_SIZE,N,N
