xmlPath,parentObject,widget,controller,event,jsPath,url,app,sg,so,matching
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2_1', 'LinearLayout956_2_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_1_3,FI_1Q_TOPLogic,routeToIncomeStatement,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_6,FI_1Q_TOPLogic,routeToInfra_Account,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout956_2', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout974_2,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_3_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2_1', 'LinearLayout956_2_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_1_7,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_7,FI_1Q_TOPLogic,routeToPBS,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2', 'LinearLayout956_2', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_5,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_1', 'LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1_2,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_7_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
