1,jsPath,controllerId,eventId,url,app,sg,so
2,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",FI_1Q_TOPLogic,error,,,,
3,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,approveDocuments,http://192.1.4.246:14000/FS/DOC/ApproveDoc?action=SO,http://192.1.4.246:14000/FS,DOC,ApproveDocSO
4,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,changeSearchMethod,,,,
5,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,focusOnYear,,,,
6,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",FI_1Q_TOPLogic,detectDocReadToBeDeleted,,,,
7,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,readDocListToBeMoved,${FsPo}KH/ReadDocListByRowSeq?action=SO,http://192.168.156.156:14000/FS/,KH,ReadDocListByRowSeqSO
8,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,readDocumentByMonthRange,${FsPo}KH/ReadGeneralDocumentByMonthRange?action=SO,http://192.168.156.156:14000/FS/,KH,ReadGeneralDocumentByMonthRangeSO
9,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,changeForMonthRange,,,,
10,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",FI_1Q_TOPLogic,success,,,,
11,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,enterEndMonth,,,,
12,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,readDocumentAfterInsertUpdateDeleteDoc,,,,
13,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,changeForDate,,,,
14,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,enterStratMonth,,,,
15,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,enterYear,,,,
16,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,readDocumentByDateRange,http://192.1.4.246:14000/FS/DOC/ReadCommonDocumentByDateRange?action=SO,http://192.1.4.246:14000/FS,DOC,ReadCommonDocumentByDateRangeSO
17,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,success,,,,
18,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,dateObjectToYyyyMmDd,,,,
19,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",FI_1Q_TOPLogic,postDeleteDocuments,,,,
20,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",FI_1Q_TOPLogic,readDocumentByMonthRangeGlobal,http://192.1.4.246:14000/FS/DOC/ReadCommonDocumentByMonthRange?action=SO,http://192.1.4.246:14000/FS,DOC,ReadCommonDocumentByMonthRangeSO
21,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",FI_1Q_TOPLogic,deleteDocuments,http://192.1.4.246:14000/FS/DOC/InsertReversalJournal?action=SO,http://192.1.4.246:14000/FS,DOC,InsertReversalJournalSO
22,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,startDocumentInsertion,,,,
23,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,readDocListToBeCopied,${FsPo}KH/ReadDocListByRowSeq?action=SO,http://192.168.156.156:14000/FS/,KH,ReadDocListByRowSeqSO
24,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,error,,,,
25,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,readDocumentUpdatable,,,,
