1,jsPath,controllerId,eventId,url,app,sg,so,webControllerJs
2,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimSettle,http//192.1.4.24614000/FS/DOC/ReadCode?action=SO,FS,DOC,ReadCodeSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
3,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimSendClaimDoc,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
4,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimReadList2,http//192.1.4.24614000/FS/IC/SearchExpenseList?action=SO,FS,IC,SearchExpenseListSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
5,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimDeny,http//192.1.4.24614000/FS/IC/SearchExpenseList?action=SO,FS,IC,SearchExpenseListSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
6,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimAdmin,http//192.1.4.24614000/FS/DOC/ReadCode?action=SO,FS,DOC,ReadCodeSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
7,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimSendPaymentDoc,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
8,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimAccept,http//192.1.4.24614000/FS/IC/CancelExpenseDetail?action=SO,FS,IC,CancelExpenseDetailSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
9,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimAddKind,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
10,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimAccept,http//192.1.4.24614000/FS/IC/AcceptExpense?action=SO,FS,IC,AcceptExpenseSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
11,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimReadList,http//192.1.4.24614000/FS/IC/SearchExpenseList?action=SO,FS,IC,SearchExpenseListSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
12,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimInsertLayout,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
13,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimMain4,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
14,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimSettleDo,http//192.1.4.24614000/FS/IC/SettleExpenseDetail?action=SO,FS,IC,SettleExpenseDetailSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
15,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaim,http//192.1.4.24614000/FS/DOC/ReadCode?action=SO,FS,DOC,ReadCodeSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
16,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimInsert,http//192.1.4.24614000/FS/IC/InsertExpenseDetail?action=SO,FS,IC,InsertExpenseDetailSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
17,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimDeny,http//192.1.4.24614000/FS/IC/DenyExpense?action=SO,FS,IC,DenyExpenseSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
18,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimAccept,http//192.1.4.24614000/FS/IC/SearchExpenseList?action=SO,FS,IC,SearchExpenseListSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
19,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,tester01,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
20,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimSettleDo,http//192.1.4.24614000/FS/IC/SettleExpense?action=SO,FS,IC,SettleExpenseSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
21,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimMain,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
22,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimSettleDo,http//192.1.4.24614000/FS/IC/SearchExpenseList?action=SO,FS,IC,SearchExpenseListSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
23,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimMain2,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
24,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimInsert,http//192.1.4.24614000/FS/IC/InsertExpense?action=SO,FS,IC,InsertExpenseSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
25,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimMain5,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
26,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimList,http//192.1.4.24614000/FS/DOC/ReadCode?action=SO,FS,DOC,ReadCodeSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
