1,xmlPath,parentWidget,widgetID,controllerId,eventId,jsPath,url,app,sg,so
2,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']",[],DocCopyLayout,DocCopyLayoutLogic,,[],,,,
3,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']",[],DocCopyLayout,DocCopyLayoutLogic,,[],,,,
4,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']",['DocCopyLayout'],LinearLayout109Copy,DocCopyLayoutLogic,,[],,,,
5,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']",['DocCopyLayout'],LinearLayout258Copy,DocCopyLayoutLogic,,[],,,,
6,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout258Copy', 'DocCopyLayout']",DatePicker386,DocCopyLayoutLogic,changeDate,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",,,,
7,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout258Copy', 'DocCopyLayout']",TextView206,DocCopyLayoutLogic,,[],,,,
8,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout258Copy', 'DocCopyLayout']",TextField166,DocCopyLayoutLogic,,[],,,,
9,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout258Copy', 'DocCopyLayout']",Button194,DocCopyLayoutLogic,changeAbstract,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",,,,
10,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout258Copy', 'DocCopyLayout']",TextView241,DocCopyLayoutLogic,,[],,,,
11,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout258Copy', 'DocCopyLayout']",TextField280,DocCopyLayoutLogic,,[],,,,
12,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout258Copy', 'DocCopyLayout']",Button299,DocCopyLayoutLogic,changeDocSalesProduct,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",,,,
13,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout258Copy', 'DocCopyLayout']",CheckBox441,DocCopyLayoutLogic,changeJournalCopy,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",,,,
14,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout258Copy', 'DocCopyLayout']",ButtonCopy,DocCopyLayoutLogic,copyDocument,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",${FsPo}KH/CopySalesDoc?action=SO,http://192.168.156.156:14000/FS/,KH,CopySalesDocSO
